0.0000	-1.0000	4.0000	61.0000
0.0645	-2.2679	4.0000	61.0000
0.2056	-3.2455	4.0000	61.0000
0.3973	-4.0663	4.0000	61.0000
0.6224	-4.7135	4.0000	61.0000
0.8647	-5.1358	4.0000	61.0000
1.1082	-5.2724	4.0000	61.0000
1.3382	-5.0869	4.0000	61.0000
1.5431	-4.6030	4.0000	61.0000
1.7155	-3.9122	4.0000	61.0000
1.8532	-3.1409	4.0000	61.0000
1.9583	-2.4028	4.0000	61.0000
2.0357	-1.7687	4.0000	61.0000
2.0910	-1.2645	4.0000	61.0000
2.1298	-0.8850	4.0000	61.0000
2.1565	-0.6100	4.0000	61.0000
2.1748	-0.4161	4.0000	61.0000
2.1872	-0.2818	4.0000	61.0000
2.1955	-0.1899	4.0000	61.0000
2.2011	-0.1275	4.0000	61.0000
2.2048	-0.0855	4.0000	61.0000
2.2074	-0.0572	4.0000	61.0000
2.2090	-0.0382	4.0000	61.0000
2.2102	-0.0255	4.0000	61.0000
2.2109	-0.0170	4.0000	61.0000
2.2114	-0.0114	4.0000	61.0000
2.2117	-0.0076	4.0000	61.0000
2.2120	-0.0051	4.0000	61.0000
2.2121	-0.0034	4.0000	61.0000
2.2122	-0.0023	4.0000	61.0000
2.2123	-0.0015	4.0000	61.0000
2.2123	-0.0010	4.0000	61.0000
2.2124	-0.0007	4.0000	61.0000
2.2124	-0.0004	4.0000	61.0000
2.2124	-0.0003	4.0000	61.0000
2.2124	-0.0002	4.0000	61.0000
2.2124	-0.0001	4.0000	61.0000
